id,sd_listener_role,sd_situation,sd_speaker_role,sd_utterance,sl_plutchik_primary_Ann,sl_plutchik_primary_Tiffanie,sl_plutchik_primary_Kirill,gold_standard,sl_v_Ann,sl_v_Tiffanie,sl_v_Kirill,sl_a_Ann,sl_a_Tiffanie,sl_a_Kirill,sl_d_Ann,sl_d_Tiffanie,sl_d_Kirill,sl_confidence_Ann,sl_confidence_Tiffanie,sl_confidence_Kirill,Notes
93,older sister,"At a family group chat, the youngest son who borrowed money from their parents hasn't paid it back. An older sister asks a direct question about whether the son paid Mom back after several reminders.",yongest son,"Oh yeah, mom really helped me out with those old medical bills.",anticipation,anger,disgust,disgust,unpleasant,unpleasant,unpleasant,neutral,excited,slightly excited,slightly controlled,slightly in control,neutral,mildly unsure,very confident,confident,
94,roommate,"During a party, a guy pauses as the topic turns to why they looked upset earlier. His roomate asked if he's still upset his best friend is now dating his immediate ex-partner.",guy,I think they'll make a great couple. They deserve each other.,surprise,sadness,surprise,surprise,mildly pleasant,mildly unpleasant,pleasant,neutral,slightly calm,slightly excited,controlled,neutral,slightly in control,mildly confident,very confident,very confident,
97,son,"A father is texting his 19-year-old son, who just called him out for missing not pickuping the son up after practice. The son asks why he didn't show up.",father,"Don't worry, I'm on my way now.",anticipation,anger,anticipation,anticipation,neutral,mildly unpleasant,unpleasant,neutral,neutral,neutral,neutral,slightly controlled,neutral,mildly confident,very confident,mildly confident,
103,older sister,"After a tense text exchange where the older sister asked the younger brother whether he has been showing up for his prison release job shifts, the younger brother replies in the family group chat.",younger brother,Don't worry. It's hard work but I can handle it.,joy,fear,surprise,surprise,mildly pleasant,mildly unpleasant,unpleasant,slightly excited,slightly calm,neutral,neutral,controlled,neutral,mildly confident,very confident,unsure,"- Tiffanie
- Also I think Ann is right in my opinion but the other two view this as unpleasant"
112,classmate,"In the school cafeteria, the classmate asks whether the college student told their latest date they didn't want exclusivity. The speaker replies while grinning.",college student,I'm as exculsive as I'm allowed to be.,surprise,disgust,surprise,surprise,neutral,mildly unpleasant,neutral,neutral,slightly calm,neutral,neutral,neutral,in control,mildly confident,very confident,mildly confident,
118,younger friend,A younger friend asks the more experienced friend if they regret ghosting someone they once dated who later became the popular girl in high school.,experienced friend,I was the one who made her popular,surprise,disgust,trust,surprise,very unpleasant,mildly unpleasant,pleasant,excited,slightly calm,excited,slightly in control,neutral,neutral,mildly confident,very confident,confident,- All disagree
122,man ,During a vulnerable moment the man asks his partner directly whether they have feelings for them. The partner appears less certain and nervous.,partner,"Sure, I have feelings for everyone.",sadness,sadness,sadness,sadness,very unpleasant,unpleasant,unpleasant,neutral,slightly calm,slightly excited,very controlled,controlled,slightly controlled,confident,very confident,confident,
124,woman,"On a second date a woman asks her date, 'Where do you see this going?' after a serious comment about exclusivity.",date,Right now I see us going to dinner and a movie.,sadness,anger,joy,sadness,unpleasant,unpleasant,very pleasant,neutral,slightly calm,very excited,very controlled,controlled,in control,mildly confident,very confident,very confident,- Kirill
127,product engineer,"In a meeting among co-workers, the packaging engineer calls out the designer for not replying to an urgent request last weekend.",designer,I always promptly respond to urgent requests. So your message last week must not have been that urgent,surprise,anger,surprise,surprise,unpleasant,unpleasant,mildly unpleasant,excited,excited,neutral,very controlled,controlled,slightly in control,confident,very confident,unsure,"- Kirill
- BUT I think anger does make sense"
129,salesperson,A discussion between a salesperson and their field engineer after the engineer skipped a scheduled client call. The salesperson directly asks the field engineering about why they missed the call.,field engineer,I wouldn't say 'skipped' so much as 'jumped' - know what I mean?,surprise,anger,anger,anger,very unpleasant,mildly unpleasant,unpleasant,neutral,slightly excited,excited,neutral,slightly controlled,neutral,mildly confident,very confident,confident,
139,product_director,"In a private Slack DM, the product_director asks the marketing_intern whether the launch checklist and metrics are ready; the intern replies immediately with an upbeat, unrelated suggestion.",marketing_intern,Also have you tried the new cafe on 3rd? Their croissants are unreal; we should grab coffee after the launch!,surprise,anger,disgust,anger,very unpleasant,mildly unpleasant,very unpleasant,slightly excited,slightly excited,slightly excited,neutral,slightly controlled,neutral,mildly confident,very confident,unsure,
145,customer support manager,In a small-team discussion a customer support manager brings up a well-known bugs in the company software and gently asks the engineer manager when the bugs will be fixed.,engineer manager,Are you sure it's not user errors?,disgust,anger,anticipation,anger,very unpleasant,mildly unpleasant,mildly unpleasant,neutral,slightly excited,slightly excited,slightly controlled,slightly controlled,neutral,mildly confident,very confident,neutral,
147,Alex,"During a one-on-one peer check-in, Alex asks Jamie why the construction project missed the deadline after Jamie had promised it would be met.",Jaime,Let's put a pin in that for now and move on to new topics.,anger,anger,surprise,anger,unpleasant,mildly unpleasant,mildly unpleasant,slightly excited,slightly excited,slightly excited,in control,controlled,slightly in control,mildly confident,very confident,confident,
148,shipping manager,"On the company shipping status webpage, Taylor is asked by the shipping manager about why they didn't post the update that was due an hour ago and what's being done about it now.",Taylor,"Oh no, my bad! Totally spaced out.",anticipation,trust,disgust,anticipation,mildly unpleasant,mildly unpleasant,unpleasant,excited,neutral,slightly excited,controlled,in control,slightly controlled,neutral,very confident,confident,"- Kirill 
- I think disgust is too strong"
154,employee,"During a mid-year compensation discussion after a great performance review, the employee asks their manager whether a promised raise will be applied this quarter.",manager,"Yes, raises can be contingent upon performance reviews.",anticipation,anger,trust,anticipation,neutral,mildly unpleasant,pleasant,neutral,slightly excited,excited,slightly controlled,controlled,in control,neutral,very confident,confident,- All disagree (on everything)
164,older sibling ,"On a quick phone call, an older sibling asks the younger sibling if they forgot to pick up their grandmother from the train station.",younger sibling ,I thought you were going to pick gram-gram up?,surprise,anger,surprise,surprise,very unpleasant,unpleasant,mildly unpleasant,excited,excited,excited,neutral,slightly in control,neutral,mildly confident,very confident,unsure,
168,teenage daughter,At the kitchen table the teenager asks her mother directly if the parents are separating after noticing boxes in the garage and seeing her father staying elsewhere overnight.,mother,"Oh, aren't we the nosey nellies?",surprise,anger,fear,anger,very unpleasant,unpleasant,unpleasant,excited,excited,slightly excited,controlled,very controlled,in control,mildly confident,very confident,confident,- All disagree (but all negative)
169,son,"An adult son calls, upset about not getting an expected scholarship and worried his father won't pay his full college tuition without it. His father hears the news and responds.",father,"I'm really sorry to hear that buddy. Well,  things usually turn out for the best.",surprise,sadness,fear,fear,mildly unpleasant,unpleasant,unpleasant,slightly calm,excited,slightly excited,slightly controlled,very controlled,slightly in control,mildly confident,very confident,confident,- All disagree (but all negative)
171,daughter,"A 16-year-old daughter comes home late and quietly knocks on her mother's bedroom door, saying they were scared when she didn't answer her phone. The teen asks, ""Are you mad at me?""",mother,"It's a school night you know, did you get all your homework done?",sadness,trust,surprise,surprise,very unpleasant,neutral,mildly unpleasant,neutral,excited,slightly excited,very controlled,controlled,slightly in control,confident,very confident,confident,"- All disagree 
- Situation is unclear in language"
172,adult daughter,"At a weekend breakfast, an adult daughter asks her father whether he'll bring up last week's argument at the family dinner. The daughter expects a direct answer about whether he'll apologize.",father,"It's not much of an ""argument"" if I'm right now is it?",sadness,anger,surprise,anger,unpleasant,unpleasant,unpleasant,excited,excited,slightly excited,very controlled,controlled,slightly in control,confident,very confident,mildly confident,
174,mother,"During a quiet family dinner, the mother asks her adult son why he hasn't transferred his share of the rent this month after several reminders.",adult son,"Oh yeah, let me get right on that.",joy,trust,trust,trust,pleasant,pleasant,neutral,slightly excited,slightly excited,neutral,very in control,very in control,neutral,confident,very confident,mildly confident,
175,parent,"After coming home late, a teenager's parent confronts them about breaking curfew and asks where they were.",teenager,I feel asleep in the library and sped read in my sleep.,anger,anger,anger,anger,neutral,unpleasant,unpleasant,neutral,excited,excited,slightly controlled,slightly controlled,slightly controlled,mildly confident,very confident,confident,
181,Pat,"Walking home together after an awkward conversation where Pat asked whether Alister had been seeing someone else, Alister responds immediately with a cheerful plan.",Alister,"Yeah, I see other people all the time, every day, all over the place in class, on TV, on the sidewalks",sadness,anger,surprise,anger,unpleasant,unpleasant,mildly unpleasant,calm,slightly excited,neutral,controlled,controlled,neutral,mildly confident,very confident,mildly confident,
186,Bob,"At a small dinner, a Bob asks an Alice who just split up with Jim whether they're okay and if Alice wants to talk about what happened.",Alice,"Speaking of which, remember when we went tricker-treating together in 3rd grade.",surprise,sadness,surprise,surprise,mildly unpleasant,mildly unpleasant,neutral,neutral,neutral,neutral,controlled,slightly controlled,neutral,confident,very confident,unsure,
187,younger partner,A younger spouse asks an older spouse whether they can talk about estate planning.,older partner,"What, are you pushing me into an early grave now?",sadness,sadness,disgust,sadness,very unpleasant,mildly unpleasant,unpleasant,excited,neutral,excited,very controlled,slightly controlled,slightly in control,confident,very confident,neutral,"- Kirill
- BUT all negative"
196,date,That's a pretty personal question to ask on only the third date.,partner,"Haha, no, but there's this new taco truckâ€”want to grab dinner Friday?",sadness,sadness,surprise,sadness,very unpleasant,unpleasant,mildly unpleasant,neutral,slightly calm,neutral,neutral,controlled,neutral,mildly confident,confident,very unsure,"- Kirill
- Situation is unclear "
199,group member,A group chat of friends where one member just asked the group coordinator if they're okay after hinting they're going through a rough breakup.,group coordinator,"Wait, I think I forgot the veggie tray in my car.",surprise,sadness,fear,surprise,very unpleasant,mildly unpleasant,mildly unpleasant,neutral,neutral,excited,neutral,slightly controlled,neutral,mildly confident,very confident,confident,
202,questioning member,In a group chat among friends after one member asked if someone was okay after the fatal car accident they walked away from.,quite member,The crazy thing was that the other driver didn't have any insurance.,surprise,sadness,disgust,disgust,very unpleasant,mildly unpleasant,mildly unpleasant,neutral,neutral,slightly excited,neutral,slightly controlled,slightly controlled,mildly confident,very confident,mildly confident,
208,student,Email from a student to a professor asking for an explanation of a low grade and whether a resubmission would be allowed.,professor,You can see the grade breakdown on the syllabus,sadness,anger,anger,anger,unpleasant,mildly unpleasant,very unpleasant,slightly excited,slightly excited,slightly excited,very controlled,controlled,in control,confident,very confident,very confident,
211,book editor,Direct message to your book editor after they asked an author for a timeline update on the next chapter and for a plan to have a draft by next week.,author,I'm working on it night and day and will get back to you next week.,anticipation,trust,disgust,trust,pleasant,mildly unpleasant,mildly unpleasant,excited,slightly excited,neutral,slightly in control,in control,in control,confident,very confident,mildly confident,
213,engineering manager,"In a private Slack 1:1, a manager asks a junior developer why they missed the deadline on a deliverable and whether there were technical obstacles the manager should know about.",junior developer,If I only had more time I think we'd hit the milestones.,anticipation,anger,trust,anticipation,mildly pleasant,unpleasant,mildly pleasant,slightly excited,slightly excited,neutral,neutral,slightly controlled,neutral,confident,very confident,confident,
223,employee,During a check-in the employee directly asks whether there's budget for a promotion this quarter; the manager responds quickly.,manager,That's a great questionâI'll have HR send you the details.,anticipation,anticipation,trust,anticipation,pleasant,neutral,pleasant,excited,excited,slightly excited,in control,controlled,in control,very confident,confident,very confident,
226,employee,At an all-hands an employee asks the CEO directly whether the circulating layoff rumors are true. The question hangs in the room.,CEO,"I can't verfiy any rumours circulating about, but we've got pizza in the kitchen if anyone's hungry!",disgust,anger,trust,disgust,mildly unpleasant,unpleasant,pleasant,neutral,slightly excited,excited,controlled,controlled,in control,confident,very confident,very confident,- Kirill
232,team lead,"During a mid-year review, the team lead brings up repeated late arrivals and asks a specific employee whether there are ongoing issues affecting their punctuality.",employee,I bet I get to the office before you tomorrow.,surprise,anger,surprise,surprise,unpleasant,unpleasant,unpleasant,slightly excited,slightly excited,excited,controlled,slightly controlled,neutral,mildly confident,confident,confident,
235,father,"After a tense exchange about who borrowed Dad's car without asking, the father hold up his son's distinctive jacket left in car this morning.",son,You got a jacket just like mine!,anger,anger,anger,anger,unpleasant,mildly unpleasant,unpleasant,excited,excited,excited,very in control,in control,controlled,confident,very confident,very confident,
250,mother,A 28-year-old daughter is on the phone with their mother; the mother asks how the daughter is handling her recent divorce and whether she needs help. The daughter has been struggling but doesn't want to worry the parent.,daughter,"I'm starting a new project at work, it's really interesting.",sadness,sadness,joy,sadness,unpleasant,unpleasant,pleasant,calm,slightly excited,slightly excited,controlled,controlled,slightly in control,confident,very confident,very confident,"- Kirill
- Reading the statement without the context?"
256,man,A man texts a partner he is dating to ask why they didn't respond after a tense thread message the previous night. The partner replies quickly with an upbeat plan.,partner,"Oh my god, why so serious. We should plan a beach day next weekend: sunscreen, snacks, and a ridiculous playlist. You in?",surprise,sadness,surprise,surprise,mildly pleasant,unpleasant,mildly unpleasant,slightly excited,slightly calm,neutral,controlled,slightly controlled,slightly in control,mildly confident,confident,neutral,- Disagreement on emotion + vallence
261,you,You're in a quiet conversation with your parnter after they asked you point-blank whether you see the relationship going somewhere; the question felt tense and direct.,partner,To the moon baby! To the moon.,sadness,anger,surprise,sadness,unpleasant,unpleasant,mildly pleasant,neutral,slightly excited,slightly excited,controlled,controlled,neutral,mildly confident,very confident,mildly confident,
262,partners,"After the acocunt manager lost the firms largest client, the partners demand an explanation of what happened.",account manager,The client felt the long-term synergy between our firm and their future vision was misaligned along multiple dimensions.,anger,anger,anger,anger,unpleasant,unpleasant,unpleasant,excited,excited,slightly excited,in control,in control,slightly controlled,mildly confident,confident,confident,
